"19810403-225900","FIN","198121981040119810403    9145239057.34    2757084102.52     ","   2.97   ","    "," 2",".82 ","       0",".30     550244120.29  396702326540.80    4750912687.73    927485300    978157249","fAMNZEHOLCRbYTETEMiJLBpRVKKMdXqtSEHxWZFpnNxqgbVMQVUhlUG     ","","","","","","","1981","2","19810401","19810403","    9145239057.34","    2757084102.52","        2.97","        2.82","        0.30","     550244120.29","  396702326540.80","    4750912687.73","    927485300","    978157249","fAMNZEHOLCRbYTETEMiJLBpRVKKMdXqtSEHxWZFpnNxqgbVMQVUhlUG     ","198121981040119","810403","9145239057.34    2757084102.52        2.97        2.82        0.30    "," 55024","02326540",".80    4","750912687.73"
"19810404-062947","FIN","198121981040119810404    2678650947.35    1524072549.94     ","   4.28   ","    "," 3",".71 ","       0",".57     313762773.82  884784339304.30    1318833900.21    356138588    411330344","KbcsPyfNDXSwTQVoLBCsTtiHXPtCPMDdVakQZp                      ","","","","","","","1981","2","19810401","19810404","    2678650947.35","    1524072549.94","        4.28","        3.71","        0.57","     313762773.82","  884784339304.30","    1318833900.21","    356138588","    411330344","KbcsPyfNDXSwTQVoLBCsTtiHXPtCPMDdVakQZp                      ","198121981040119","810404","2678650947.35    1524072549.94        4.28        3.71        0.57    "," 31376","84339304",".30    1","318833900.21"
"19810404-112135","FIN","198121981040119810404     145014771.71      33118198.49     ","   0.19   ","    "," 0",".19 ","       0",".23     851202917.16    6331507943.10    3372442657.26    177801736    178620317","0000006657","","","","","","","1981","2","19810401","19810404","     145014771.71","      33118198.49","        0.19","        0.19","        0.23","     851202917.16","    6331507943.10","    3372442657.26","    177801736","    178620317","0000006657","198121981040119","810404"," 145014771.71      33118198.49        0.19        0.19        0.23    "," 85120","31507943",".10    3","372442657.26"
"19810404-142848","FIN","198121981040119810404    2847540547.84     938124647.39     ","   1.66   ","    "," 1",".39 ","       0",".33     846007554.93  206610447039.89    5310523858.80    565306859    676398048","OHGvmwLxBOXzQyhwWszDJKOmV                                   ","","","","","","","1981","2","19810401","19810404","    2847540547.84","     938124647.39","        1.66","        1.39","        0.33","     846007554.93","  206610447039.89","    5310523858.80","    565306859","    676398048","OHGvmwLxBOXzQyhwWszDJKOmV                                   ","198121981040119","810404","2847540547.84     938124647.39        1.66        1.39        0.33    "," 84600","10447039",".89    5","310523858.80"
"19810404-184053","FIN","198121981040119810404    7405920390.14    2780844145.41     ","   7.49   ","    "," 6",".61 ","       0",".38     680510535.29  449536943292.90    2003717944.70    371065909    420636050","0000002558","","","","","","","1981","2","19810401","19810404","    7405920390.14","    2780844145.41","        7.49","        6.61","        0.38","     680510535.29","  449536943292.90","    2003717944.70","    371065909","    420636050","0000002558","198121981040119","810404","7405920390.14    2780844145.41        7.49        6.61        0.38    "," 68051","36943292",".90    2","003717944.70"
"19810405-013032","FIN","198121981040119810405    3114263770.74     273985442.38     ","   0.59   ","    "," 0",".52 ","       0",".09     549170497.82  425338694827.67    3770635362.40    466123699    528880803","0000007586","","","","","","","1981","2","19810401","19810405","    3114263770.74","     273985442.38","        0.59","        0.52","        0.09","     549170497.82","  425338694827.67","    3770635362.40","    466123699","    528880803","0000007586","198121981040119","810405","3114263770.74     273985442.38        0.59        0.52        0.09    "," 54917","38694827",".67    3","770635362.40"
"19810408-130915","FIN","198121981040119810408    1251157382.93     244412973.52     ","   0.33   ","    "," 0",".30 ","       0",".20     884840826.43  503525918313.24    1191656952.41    745925962    819008966","0000005850","","","","","","","1981","2","19810401","19810408","    1251157382.93","     244412973.52","        0.33","        0.30","        0.20","     884840826.43","  503525918313.24","    1191656952.41","    745925962","    819008966","0000005850","198121981040119","810408","1251157382.93     244412973.52        0.33        0.30        0.20    "," 88484","25918313",".24    1","191656952.41"
"19810409-095514","FIN","198121981040119810409     648445337.23     355255503.52     ","   0.40   ","    "," 0",".34 ","       0",".55      18788176.18  910699957942.40    8755816009.90    883428128   1059051570","sjpYZuLGoLkJVInfOpPJVqmIpoUIamoIFrjZUBwXyCiqcOUQaIRE        ","","","","","","","1981","2","19810401","19810409","     648445337.23","     355255503.52","        0.40","        0.34","        0.55","      18788176.18","  910699957942.40","    8755816009.90","    883428128","   1059051570","sjpYZuLGoLkJVInfOpPJVqmIpoUIamoIFrjZUBwXyCiqcOUQaIRE        ","198121981040119","810409"," 648445337.23     355255503.52        0.40        0.34        0.55    ","  1878","99957942",".40    8","755816009.90"
"19810410-212421","FIN","198121981040119810410    9962411785.63     371264971.61     ","   1.29   ","    "," 1",".18 ","       0",".04     248086055.57  819761287898.36    2827588330.09    288389004    315754431","0000004686","","","","","","","1981","2","19810401","19810410","    9962411785.63","     371264971.61","        1.29","        1.18","        0.04","     248086055.57","  819761287898.36","    2827588330.09","    288389004","    315754431","0000004686","198121981040119","810410","9962411785.63     371264971.61        1.29        1.18        0.04    "," 24808","61287898",".36    2","827588330.09"
"19810411-014452","FIN","198121981040119810411    3752801205.48     194184883.83     ","   1.55   ","    "," 1",".36 ","       0",".05     398514380.73  179499230308.25    4381142078.99    125579553    142644854","0000000495","","","","","","","1981","2","19810401","19810411","    3752801205.48","     194184883.83","        1.55","        1.36","        0.05","     398514380.73","  179499230308.25","    4381142078.99","    125579553","    142644854","0000000495","198121981040119","810411","3752801205.48     194184883.83        1.55        1.36        0.05    "," 39851","99230308",".25    4","381142078.99"
